Company ID,Companies,Exchange,Ticker,Description,Fiscal Period,Revenue,Gross Profit,EBITDA,Net Income,Enterprise Value,Primary Industry Sector,Ownership Status,Company Financing Status,Verticals,HQ Location,Last Financing Date,Last Financing Deal Type,Last Financing Size,PitchBook Link
267732-37,Battrion,,,"Developer of fabrication technologies for lithium-ion batteries designed to increase the charging speed of high-energy density cells. The company's technology allows controlling the orientation of flake graphite particles that improves the microstructure of the negative electrode, which constitutes the bottleneck for fast charging, enabling construction, electrical and other industries to charge the batteries faster, minimize cost, and reduce the environmental impact of battery production.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,Climate Tech,"LuzernLuzern, Switzerland",31-Mar-2022,Grant,0.68,View company online
503083-72,Bedrock Energy,,,"Provider of construction services intended to transform the heating & cooling of buildings. The company builds autonomous drilling technology and advanced subsurface simulation software to allow widespread, affordable, and accessible installations of geothermal heating & cooling, enabling the construction industry to reduce their costs and maintain a sustainable environment.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Construction Technology, Industrials","Austin, TX",18-Oct-2023,Seed Round,8.50,View company online
183033-73,Bioo,,,"Developer of an innovative technology designed to generate electricity from natural grass. The company's technology specializes in the biological engine that obtains energy from the decomposition of organic substances naturally released by plants, liberating electrons and water in the process, enabling society and the world to merge nature and technology to improve the quality of life for everyone with the creation of clean and green electricity.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness","Barcelona, Spain",04-Jul-2023,Later Stage VC,62.01,View company online
163135-81,Black Bear Energy,,,"Provider of renewable energy services intended to help property owners and users deploy projects on their terms. The company's services include facilitating solar projects, energy storage, fuel cells and lighting and also helping property owners in their procurement of renewable energy and accelerating the adoption of clean energy among commercial and industrial properties, enabling clients to get renewable and clean-tech projects which create value for their portfolio.",,,,,,,Energy,Acquired/Merged (Operating Subsidiary),Private Equity-Backed,,"Boulder, CO",19-Jul-2022,Buyout/LBO,,View company online
458761-42,Blip Energy,,,"Developer of an energy storage system designed to accelerate the clean energy transition. The company's system for energy management works at home without barriers around permitting and storing electricity overnight for use later in the day making energy equity accessible and affordable, enabling clients to save money on monthly electric bills by capturing the value of electricity price changes throughout the day.",,,,,,,Consumer Products and Services (B2C),Privately Held (backing),Venture Capital-Backed,CleanTech,"Evanston, IL",15-May-2023,Seed Round,,View company online
343567-00,Blue Current,,,"Manufacturer of advanced solid-state batteries intended for electric vehicles, consumer electronics, medical, and IoT devices. The company leverages batteries with high silicon content to manufacture reliable and energy-dense solid-state batteries, providing clients with greater energy efficiency.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Internet of Things","Hayward, CA",08-Sep-2023,Later Stage VC,16.25,View company online
223069-51,Blueprint Power,,,"Developer of an electricity grid-based platform designed to accelerate the transformation of buildings into intelligent power nodes. The company's platform provides a suite of data-driven machine-learning tools to automate the management, aggregation, orchestration, and market transactions of energy assets, thereby enabling real-estate owners to transform their buildings into power plants and connect them to new energy markets and customers.",,,,,,,Energy,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"Artificial Intelligence & Machine Learning, Big Data, Infrastructure, TMT","New York, NY",03-Sep-2021,Merger/Acquisition,,View company online
234565-03,Boston Materials,,,"Operator of a carbon fiber composite manufacturing company intended to develop composites for application in consumer electronics, automotive, and aerospace sectors. The company's product specializes in reinforcing carbon fiber composite having patented Z-axis milled fiber technology that combines quality performance, and lightweight materials across sustainable transportation, electronics, and renewable energy applications, enabling manufacturers of industrial and consumer products to improve their design trade-offs with new materials.",,,,,,,Materials and Resources,Privately Held (backing),Venture Capital-Backed,"CleanTech, Manufacturing","Billerica, MA",29-Dec-2022,Later Stage VC,2.00,View company online
168542-11,Brill Power,,,"Developer of novel battery management, control, and monitoring technology designed to increase the lifetime performance of batteries in stationary energy storage and electric vehicles. The company's novel control concepts and software deliver step-change improvements in performance and reduce the cost of ownership of batteries, enabling communities to get sustainable technology for society.",FY 2022,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness","Oxford, United Kingdom",29-Jul-2022,Later Stage VC,11.50,View company online
437230-63,Britishvolt,,,"Manufacturer of low-carbon batteries designed to accelerate the electrification of society. The company's batteries are designed using quality manufacturing processes, advanced modeling techniques, and recycled materials, enabling businesses to assist in the acceleration of sustainable transport and the renewable energy sector.",FY 2022,,,,12.77,,Information Technology,Acquired/Merged,Formerly VC-backed,"CleanTech, Climate Tech, LOHAS & Wellness, Manufacturing, Mobility Tech","Blyth, United Kingdom",27-Feb-2023,Merger/Acquisition,,View company online
228162-25,Caban,,,"Developer of energy storage systems designed to assist with energy management technology to the telecom industry. The company's system uses intelligent lithium-ion battery packs to prevent downtime and reduce the total cost of ownership and maintenance of towers, enabling telecom industry clients to save on energy expenses by reducing emissions in both off-grid and weak-grid tower sites.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Burlingame, CA",14-Jul-2023,Later Stage VC,15.00,View company online
482415-49,Cancrie,,,"Producer of patented advanced material intended to power up energy storage devices. The company's material is made from waste and uses fewer chemicals than the currently available ones and it offers customized material for different energy storage devices like batteries and capacitors., enabling businesses to power up energy storage devices at a low cost using renewable resources with net-zero emissions.",,,,,,,Materials and Resources,Privately Held (backing),Accelerator/Incubator Backed,CleanTech,"Jaipur, India",22-Dec-2022,Grant,0.01,View company online
221694-76,Capacitech Energy,,,"Developer of an electric capacitor intended for businesses to manufacture electronics. The company's product is built on the surface of a copper wire that doesn't require redesign to use the cable-based capacitor and could be cut at different lengths to control its performance, enabling industries to make e-mobility applications that are easily customizable.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Industrials, Manufacturing","Orlando, FL",01-Jan-2022,Grant,1.39,View company online
122676-31,carbonTRACK,,,"Developer of an energy management platform intended to monitor, control, automate and share energy. The company's platform creates an energy ecosystem that's helping to close the gap between energy supply and demand, enabling clients to solve the inefficiencies in electricity production and distribution around the world.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"Internet of Things, TMT","Hawthorn, Australia",13-Nov-2023,Secondary Transaction - Private,,View company online
481184-29,CE+T Energrid,,,"Manufacturer of energy management systems for residential, commercial, and industrial clients across the globe. The company offers a variety of energy solutions which include multidirectional converters, standard, modular, and power management systems (PMS) for commercial, industrial, and local energy communities and microgrid applications, enabling clients to reduce costs and optimize the use of renewable energies.",,,,,,,Energy,Privately Held (backing),Private Equity-Backed,"CleanTech, Manufacturing","Wandre, Belgium",04-Jun-2021,PE Growth/Expansion,0.97,View company online
61778-26,Cens,,,"Developer of advanced nano-technology materials intended to increase the energy density and the cycle life of lithium-ion batteries. The company's materials connect carbon nanotubes (CNT) with various electrode materials to create highly conductive three-dimensional structures, enabling businesses to meet the increasing demands of electrical vehicles, energy storage, aerospace, and consumer electronics.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Climate Tech, Nanotechnology, TMT","Tel Aviv, Israel",13-Dec-2023,Accelerator/Incubator,0.10,View company online
513088-75,Channing Street Copper,,,"Manufacturer of home electrification products intended to replace gas ranges in homes. The company's products are designed and engineered to provide a plug-and-play installation, battery backup, and peak power, enabling homeowners to save money, improve air quality, and reduce their carbon footprint.",,,,,,,Consumer Products and Services (B2C),Privately Held (backing),Venture Capital-Backed,"CleanTech, LOHAS & Wellness, Manufacturing, Oil & Gas","Berkeley, CA",15-Sep-2023,Seed Round,6.86,View company online
435965-41,Cheesecake Energy,,,"Developer of thermal and compressed air energy systems intended to store energy from intermittent renewables, turning them into reliable power-on-demand. The company's technology uses compressed air and thermal energy storage to achieve costs, with industrial components that can largely be bought off the shelf, enabling clients to get durable storage devices at a reasonable price.",FY 2023,,,,,,Business Products and Services (B2B),Privately Held (backing),Private Equity-Backed,CleanTech,"Nottingham, United Kingdom",25-Jul-2022,PE Growth/Expansion,4.21,View company online
170054-92,Circuitree (UK),,,"Developer of a smart battery system designed to capture intermittent solar energy that can be re-utilized as an alternative energy source to give UK homes and businesses greater energy independence. The company's smart battery system Cirrus is an automated home energy management system that stores solar and wind energy and is a web-connected system that tracks energy consumption, enabling residential, commercial and agricultural sectors to collect and store cost-effective solar or wind energy and use this energy on demand, thus reducing their reliance on the grid, cutting their carbon footprint and saving them money.",FY 2017,,,,,,Energy,Out of Business,Formerly Angel backed,"CleanTech, LOHAS & Wellness, TMT","Brighton, United Kingdom",08-Oct-2019,Out of Business,,View company online
459222-67,Cleanwatts,,,"Developer of a cloud-based operating system designed specifically to address the evolving needs of energy communities. The company's platform offers to bring together distributed energy assets, financial capital, and digital technologies, helping clients to decarbonize operations while reducing overall energy costs.",FY 2022,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, SaaS","Coimbra, Portugal",28-Jun-2022,Early Stage VC,26.48,View company online
13468-33,Community Energy,,,"Developer of renewable energy projects designed to ignite the market for fuel-free energy and develop solar and wind generation. The company's projects provide reliable, carbon-free energy including grid-connected solar, wind, and storage projects at the scale necessary to meet the energy demands of large electric customers, utilities, cities, and communities, enabling clients to use clean energy for their businesses and homes.",,,,,,,Energy,Acquired/Merged (Operating Subsidiary),Venture Capital-Backed,"CleanTech, Climate Tech, TMT","Montgomeryville, PA",01-Jan-2022,Later Stage VC,,View company online
231063-67,Connected Energy (Energy Storage),,,"Developer of industrial-scale energy storage systems designed to utilize second-life electric vehicle batteries. The company's technology provides the same performance as the equivalent to first-life batteries but at a lower cost in an environmentally friendly manner and it is designed for industrial and commercial behind-the-meter applications, enabling intensive energy users to mitigate their costs by capitalizing on load flexibility.",FY 2022,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Newcastle Upon Tyne, United Kingdom",16-Jun-2022,Later Stage VC,18.70,View company online
535445-65,Continuum Renewables,,,"Developer of renewable energy products intended to provide dispatchable renewable power. The company offers PV solar, offshore hydropower, renewable heat, and energy storage products, providing customers with clean, reliable, and affordable energy alternatives.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, LOHAS & Wellness","Pasadena, CA",06-Apr-2023,Seed Round,4.20,View company online
188034-49,Coreshell,,,"Developer of liquid-deposited nanolayer coatings designed to improve the battery production process. The company's coatings specialize in the development of an electrode coating technology that protects battery electrodes against capacity-reducing chemical reactions, enabling clients to get an improved battery capacity, safety, durability, and ultimately reducing the cost.",,,,,,,Materials and Resources,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","San Leandro, CA",27-Dec-2021,Early Stage VC,12.00,View company online
491267-89,Cortex Fusion Systems,,,"Provider of quantum-controlled fusion energy intended to leverage advances in ultrafast optics and coherent control to catalyze fusion reactions in the condensed matter phase. The company's fusion energy is produced as a result of quantum-controlled fusion that can occur at an energy scale that is characteristic of intramolecular processes, rather than at energies associated with high temperatures, enabling clients to utilize an innovative source of energy with the help of fusion power which is also good for the environment.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Manufacturing","New York, NY",03-Feb-2022,Seed Round,0.80,View company online
467048-17,Covers TM,,,"Manufacturer of heat pumps intended to produce domestic hot water and heating. The company's heat pump offers features of heating, ventilation and hot water sanitary and is also installable and can be personalized, enabling customers to make their home comfortable with minimal energy consumption.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,Manufacturing,"Liege, Belgium",30-Apr-2016,Early Stage VC,0.17,View company online
268523-29,COWA,,,"Developer of a thermal energy storage technology designed to provide energy storage for the building sector. The company's heat storage tank uses the electricity from the photovoltaic system effectively, provides heat for longer and makes individuals independent from the power grid, enabling clients to have sustainable heating and independence from external energy suppliers.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,,"Lucerne, Switzerland",06-Jul-2022,Early Stage VC,1.03,View company online
327316-60,Cratus Energy,,,"Developer of molten salt and high-temperature metallic phase intended to uptake renewables throughout all kinds of energy use. The company transformation of the global energy system requires rapid uptake of renewables throughout all kinds of energy use that is the only thermal energy storage technology deployed at scale for storing renewable energy, which helps to integrate high shares of renewable energy in power generation, industry and buildings where the technical performance of Molten-Salt Thermal Energy Storage systems operating track record at utility-scale in multi-GW CSP (concentrated solar power) plants, thereby providing an increase in operating temperature ranges and performance, which would materially improve conversion efficiencies of CSP plants, and cost reductions will accelerate the adoption of these systems across multiple industries.",,,,,,,Energy,Privately Held (backing),Private Equity-Backed,CleanTech,"Euclid, OH",,Corporate,2.00,View company online
157659-40,CRESS Systems,,,"Designer and manufacturer of energy storage systems designed to recycle wasted energy from large industrial equipment. The company's energy storage systems capture and store the wasted kinetic energy to power the next container lift and provide load balancing between industrial consumers and the grid, enabling heavy industrial companies to reduce fuel costs and emissions.",FY 2018,,,,,,Energy,Acquired/Merged,Formerly VC-backed,"CleanTech, LOHAS & Wellness, Manufacturing, TMT","Darlington, United Kingdom",14-Mar-2019,Merger/Acquisition,,View company online
54395-47,Cuculus,,,"Developer of smart metering and in-home device management software designed to address the key challenges in the energy markets. The company's software supports the management of home appliances for utilities and internet service providers and helps utilities to deliver smart metering by connecting electric, gas and water meters to an information technology platform that can be integrated with utilities existing back-end systems, enabling energy suppliers, cities and other energy-related businesses to master the transition from simple, manually read meters to intelligent meters that are directly connected to the digital software landscape.",FY 2021,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Internet of Things, TMT","Ilmenau, Germany",08-Feb-2021,Later Stage VC,9.08,View company online
98201-35,Cumulus Energy Storage,,,"Manufacturer of grid-level energy storage batteries intended to improve electricity management. The company develops grid-scale energy storage batteries for use in distributed and centralized electricity networks, enabling clients to deliver improved energy services to customers.",FY 2022,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Industrials, Manufacturing, TMT","Rotherham, United Kingdom",01-Oct-2022,Grant,0.06,View company online
182049-85,Dandelion Energy,,,"Developer of a home geothermal system designed to offer renewable heating and cooling services. The company's system offers a proprietary, low-cost installation process that harnesses thermal energy from below the earth's surface to change temperatures and produce hot water, enabling homeowners to switch from conventional heating fuels to geothermal heating and cooling.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness","Mount Kisco, NY",,Later Stage VC,,View company online
442565-92,Dash Energy,,,"Operator of an energy trading platform intended to help energy brokers and suppliers work faster and more efficiently. The company offers tools that make it simple for everyone to access renewable energy, enabling brokers and suppliers to speed up the manual processes, deliver additional value to clients, and close more contracts, faster.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, CleanTech, Climate Tech, SaaS","Austin, TX",01-Aug-2022,Accelerator/Incubator,,View company online
436974-31,dCarbonX,,,"Provider of practical solutions for emissions intended to build a strategic portfolio of high-value subsurface assets through decarbonization exploration. The company explores for subsurface assets to enable the energy transition, whether it is an intermittent renewable producer requiring energy storage, a facility requiring geothermal heat, or a national utility seeking permanent carbon sequestration capacity, the company uses its unique technical skills and knowledge base, as well as its deep industry, financial, commercial and academic networks to identify, co-venture and progress these assets.",FY 2022,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,,"London, United Kingdom",19-Jul-2023,Early Stage VC,6.07,View company online
53632-09,Demand Energy Networks,,,"Developer of a energy software designed to maximize the economic returns behind the meter storage systems. The company's DEN.OS energy management software delivers analytics and control required to aggregate energy management across several facilities, enabling commercial buildings, industrial plants and warehouses to manage the way electricity is stored and consumed.",,,,,,,Information Technology,Acquired/Merged,Formerly VC-backed,"CleanTech, TMT","Liberty Lake, WA",11-Jan-2017,Merger/Acquisition,,View company online
56997-37,DEME Blue Energy,,,"Provider of development services intended to help in the development of wave and tidal energy projects. The company's services are focused on energy generated from waves, tidal movements and tidal currents, enabling clients to generate tidal energy for commercial purposes.",FY 2022,,,0.01,-0.01,,Energy,Privately Held (backing),Formerly VC-backed,Industrials,"Zwijndrecht, Belgium",01-May-2021,Secondary Transaction - Private,,View company online
124384-06,Dimien,,,"Manufacturer of electric vehicle batteries designed to commercialize novel cathodes for lithium batteries. The company's cathodes are based on a patented material that is high-energy, low-cost, and safe and can be used for optical LED devices, automotive adhesives, and plastic composites to sell cathode material for high volume and batteries in moderate volume, thereby providing clients with batteries with a balance of performance and cost for applications in electrified vehicles.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Mobility Tech","Buffalo, NY",01-Apr-2023,Later Stage VC,0.52,View company online
61959-07,Directed Sensing,,,"Provider of sensing and visualization technologies designed to utilize for thermal imaging and visualizing radio frequencies. The company's technologies use advanced IoT sensors and systems with regulatory-compliant security, enabling people to understand the operational state and condition of large capital assets such as electric utilities like transformers, grid-scale energy storage and power electronics.",,,,,,,Business Products and Services (B2B),Out of Business,Formerly VC-backed,"Industrials, Internet of Things, Robotics and Drones, TMT","Austin, TX",01-Nov-2016,Out of Business,,View company online
529710-40,Dodai,,,"Developer of electric motorcycles intended to make e-mobility accessible to everyone. The company provides cost-effective, and quality scooters specifically crafted for the need of mobility gig workers and commuters in Africa, enabling customers to rent scooters on a short-term basis making it a more convenient and affordable option for transportation.",,,,,,,Consumer Products and Services (B2C),Privately Held (backing),Venture Capital-Backed,Mobility Tech,"Addis Ababa, Ethiopia",21-Jun-2023,Seed Round,1.50,View company online
181648-09,Drift Marketplace,,,"Provider of green energy services intended to deliver an uninterrupted supply of green energy to customers. The company's services deliver an uninterrupted supply of green energy with a mix of locally-sourced solar, wind and run-of-river hydro, enabling customers to go green with their energy consumption.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness","Seattle, WA",01-Feb-2021,Secondary Transaction - Private,,View company online
460106-47,DST Innovations,,,"Operator of a renewable technology company intended to research and develop alternative resources for consumer electronic companies. The company's development portfolio includes an energy storage technology that converts coal and other organic materials to activated hard carbon for use in batteries and supercapacitors, enabling clients to avail of products and technologies that promote the sustainability of the planet and reduce carbon footprint.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Manufacturing","Bridgend, United Kingdom",15-Feb-2021,Later Stage VC,1.71,View company online
539415-10,E-concept,,,"Operator of a renewable energy semiconductor manufacturing start up intended to serve for different sectors of organizations. The company is specialized in designing products and offer technological services for sustainable innovation, with a focus on system electrification in the nautical sector, enabling clients electric boats to easily access the infrastructure that allows them to absorb the energy needed to recharge their batteries.",,,,,,,Energy,Privately Held (backing),Angel-Backed,"CleanTech, Manufacturing","Venice, Italy",01-Jan-2020,Equity Crowdfunding,0.16,View company online
158697-01,E1023,,,"Provider of engineering services intended to help in the development of energy storage systems. The company's services emphasize in the field of communication and energy wire manufacturing, enabling clients to get access to alternative energy storage equipment and grow in terms of revenue.",,,,,,,Business Products and Services (B2B),Out of Business,Formerly VC-backed,"CleanTech, LOHAS & Wellness, Manufacturing","Ronan, MT",06-Aug-2019,Out of Business,,View company online
294846-40,E6,,,"Developer of an energy management platform intended to manage electricity generated by renewable installations. The company's platform offers different tools for renewable producers to monitor their energy sales, optimize their maintenance, and assess their production forecasts and their industrial performance, enabling renewable power producers to have access to power markets.",,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Paris, France",10-May-2022,Secondary Transaction - Private,,View company online
155629-18,eChemion,,,"Producer of flow battery products intended to enhance the performance characteristics of carbon materials focused on energy storage. The company's products mainly focus on developing and marketing a treatment process by offering improved performance, longevity, and gross margins, enabling clients to get access to low-cost, high-performance component energy storage devices in an easy manner.",,,,,,,Energy,Out of Business,Formerly VC-backed,CleanTech,"Corvallis, OR",01-Sep-2022,Out of Business,,View company online
167801-05,Eco-Tech Ceram,,,"Developer of thermal energy storage systems designed to improve the energy efficiency of manufacturers. The company's systems include eco-efficient, transportable, and modular thermal energy storage systems using refractory ceramics produced from inorganic industrial waste, enabling clients to efficiently utilize energy and use renewable energy to increase their profitability.",FY 2022,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Manufacturing","Perpignan, France",18-Oct-2021,Later Stage VC,5.82,View company online
62533-36,Ecobat,,,"Distributor of leads and batteries dedicated to responsibly managing vital resources through a closed-loop supply chain. The company offers collection, recycling, production and distribution of resources and provides sustainable processes and practices for the safe, effective handling of each resource to increase the supply of raw materials back into battery production, enabling clients to meet the demand for more efficient and reliable energy storage services.",,,,,,,Materials and Resources,Privately Held (backing),Private Equity-Backed,,"Dallas, TX",08-Nov-2021,Debt Refinancing,,View company online
339929-92,Einhundert,,,"Provider of electricity management services intended to offer green and digital energy supply for tenants. The company's services involve specializing in the planning, installation, operation and maintenance of a photovoltaic system, enabling tenants to acquire low-cost solar energy that reduces their cost of real power consumption.",FY 2022,,0.34,-4.13,-4.28,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech","Cologne, Germany",16-Aug-2022,Later Stage VC,,View company online
167906-98,Electra,,,"Developer of analytics software designed for energy storage design, control, and analytics services to the mobility sector. The company's platform uses artificial intelligence, self-learning dynamic controls, and adaptive control algorithm to extend the system's life and learn user habits over time to improve overall system performance, enabling electric vehicle companies to quickly design and compare several energy storage system specifications and evaluate multi-chemistry or battery-ultracapacitor energy storage systems.",,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, CleanTech, LOHAS & Wellness, Mobility Tech","Boston, MA",01-Apr-2023,Secondary Transaction - Private,,View company online
433632-79,Electric Era,,,"Manufacturer of batteries intended to provide cost-effective energy management. The company's batteries prevent costly power draw from the grid when the power goes high, enabling clients to get access to simplified operations to accelerate commercial growth without intervention in their power use.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Artificial Intelligence & Machine Learning, CleanTech, Climate Tech, Manufacturing, Mobility Tech","Seattle, WA",18-Jul-2023,Early Stage VC,16.24,View company online
227216-80,Electric Power Systems,,,"Manufacturer of energy storage systems designed for traction, storage, backup, and engine starter applications. The company's system is capable of full containment of worst-case thermal runaway events, overcharge, overheating, and short circuits, with all protection, and features disabled, enabling clients to adopt the technology in major industrial, aerospace, and traction markets.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"Manufacturing, Mobility Tech","North Logan, UT",14-Apr-2023,Later Stage VC,13.00,View company online
469023-40,Electrified Thermal Solutions,,,"Developer of energy storage technology designed to store renewable electricity as heat. The company's platform utilizes low-cost conductive ceramics blocks to convert intermittent electricity into constant high heat, enabling the industrial plants to use zero-carbon heat by replacing fossil fuels to decarbonize the energy consumption.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,Climate Tech,"Medford, MA",31-May-2023,Grant,0.10,View company online
168926-95,Electron,,,"Developer of an energy trading platform designed to offer digitally optimized marketplaces rather than large-scale new generation capacity. The company's infrastructure aids in harnessing blockchain technologies to design efficient, resilient, and flexible systems for the energy sector, enabling industries to address the challenges and maximize the potential of new technologies such as distributed renewable generation and storage capacity, the smart grid, and connected devices.",FY 2022,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, Cryptocurrency/Blockchain, LOHAS & Wellness","London, United Kingdom",01-Sep-2023,Later Stage VC,4.31,View company online
84344-32,Elecyr,,,"Developer of solar energy storage systems. The company designs and manufactures digital microgrids that optimize energy production and storage in an efficient supply-and-demand private power market, enabling users to store renewable energy.",,,,,,,Energy,Out of Business,Formerly Angel backed,"CleanTech, LOHAS & Wellness, Manufacturing, TMT","Dover, NH",01-May-2020,Out of Business,,View company online
185055-58,Element 16 Technologies,,,"Developer of thermal energy storage system designed to use high-temperature heat storage to improve energy efficiency. The company's system uses technology based on a breakthrough in heat energy storage, which uses a molten sulfur mixture to replace molten salts and thermal oils, enabling customers to reduce the amount of wasted heat in cogeneration plants, increasing overall efficiency and reducing the carbon footprint.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, LOHAS & Wellness, Oil & Gas, TMT","Duarte, CA",08-Jun-2022,Grant,1.00,View company online
434428-48,Element Energy,,,"Developer of a battery management system designed to improve the safety, energy throughput and lifetime of lithium-ion battery packs. The company's system helps with the cost-effective repurposing of retired electric vehicle batteries into highly effective grid-scale energy storage systems, enabling users to facilitate the proliferation of renewable energy while providing the total energy capacity of the pack.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Mobility Tech","Menlo Park, CA",15-Nov-2023,Later Stage VC,111.00,View company online
64356-22,Eleneo,,,"Developer of cloud-based energy-management software designed to assist organizations in consuming less energy. The company's software guides organizations to understand and anticipate changes in the global energy market, and engineer new behavioral and business approaches to energy, enabling organizations to implement energy-management plans.",FY 2022,,,,,,Energy,Privately Held (backing),Formerly VC-backed,CleanTech,"Paris, France",01-Jan-2023,Secondary Transaction - Private,,View company online
124571-08,Elexity,,,"Developer of a solar software platform designed for commercial buildings as virtual power plants. The company's platform provides active and autonomous real-time control of all major electrical building loads like heat pumps, air conditioning, batteries, electric vehicle charging, and solar, with a significant reduction in energy and emissions, and demand and time-of-use charges, simultaneously facilitating building automation and provides lite-commercial building management system, enabling buildings to be grid-interactive and participate in utility or grid load flexibility programs like demand response or real-time pricing.",,,,,,,Information Technology,Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, SaaS","Bend, OR",14-Jun-2021,Seed Round,5.20,View company online
483373-54,Elite Performance Holding,,,"Operator of a holding company based in Miami, Florida. The company is centered on innovative and proprietary nutritional and dietary fitness enhancement products, that are in the sports performance, weight loss, nutritional, functional beverage and energy markets.",,,,,,,Financial Services,In IPO Registration,Corporation,,"Miami, FL",03-Feb-2022,IPO,1.50,View company online
187863-76,elow,,,"Operator of an energy-related company intended to assist in energy supply in a sustainable world. The company provides features that include billing, network data acquisition, customer management, market access, electronic mobility, dashboards, digital energy coach, smart contract, and green trading, enabling energy suppliers and producers to have proper and effective energy transportation services for growth.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, LOHAS & Wellness, SaaS","Paris, France",19-Feb-2021,Angel (individual),0.12,View company online
98293-42,Enairys Powertech,,,"Manufacturer of a clean technology system designed to develop clean energy storage and management technology based on compressed air. The company's system consists of three main parts uses natural components and easy-to-recycle metals and relies on hydro-pneumatic and power electronics technology, enabling energy sector companies with sustainable energy storage options and protecting and conserving natural resources.",,,,,,,Energy,Privately Held (backing),Venture Capital-Backed,"CleanTech, Manufacturing","Lausanne, Switzerland",01-Nov-2022,Secondary Transaction - Private,,View company online
53673-13,Enbala,,,"Developer of a real-time energy-balancing technology designed to transform energy system operations. The company's technology captures and aggregates available customer loads, energy storage and renewable energy sources to form a network of continuously controlled energy resources, enabling clients to control, optimize and dispatch distributed energy in real-time.",,,,,,,Energy,Acquired/Merged (Operating Subsidiary),Formerly VC-backed,"CleanTech, Climate Tech, TMT","North Vancouver, Canada",07-Oct-2020,Merger/Acquisition,41.98,View company online
54937-00,Encell Technology,,,"Developer of energy storage systems designed to address sophisticated and demanding power needs. The company's system offers battery storage and management as well as a family of green and safe products uniquely suited to the requirements of several growing market segments, including wireless communications, cloud computing, mobile technology, automotive, healthcare and alternative energy, enabling clients to get clean, reliable and cost-effective power storage systems.",,,,,,,Business Products and Services (B2B),Privately Held (backing),Venture Capital-Backed,"CleanTech, Climate Tech, Industrials","Alachua, FL",12-Apr-2023,Later Stage VC,0.89,View company online
